id,eqpName,eqpType,weight,hands,slots,cost,eqpDesc,Misfire,capacityQuantity,DMGorTAC,DMGTypeMaterial,Area,Effect,Save,Notes,distance
ntrl024,Hardened Jaw,ntrl,0,0,0,0,An extremely hard jaw built for crushing stone,0,0,2,Textile,0,0,0,0,0
ntrl025,Frogtooth,ntrl,0,0,0,0,"Not teeth exactly, but still hurts a lot",0,0,1d6+TR,Bludgeoning,0,0,0,0,0
ntrl026,Lashing Arm,ntrl,0,0,0,0,A long arm used like a whip.,0,0,1d6+2,Bludgeoning,0,0,0,0,0
npc001,Cult Uniform,clth,4,0,1,0,The heavy robes of the cult,0,0,1,Textile,0,0,0,0,0
npc002,Gravedigger's Coat,clth,3,0,1,0,A heavy leather coat,0,0,1,Textile,0,0,0,0,0
npc003,Reinforced Cult Uniform,clth,5,0,1,0,Reinfoced cult clothing,0,0,2,Textile,0,0,0,0,0
npc004,Reinforced Leather Sleeve,clth,5,0,1,0,Reinforced leather,0,0,3,Textile,0,0,0,0,0
npc005,Reinforced Rags,clth,3,0,1,0,Rags with some reinforcement,0,0,1,Textile,0,0,0,0,0
npc006,Reinforced Robes,clth,3,0,1,0,A reinforced robe,0,0,1,Textile,0,0,0,0,0
npc007,Sharpened Shovel,mele,3,2,3,5 oz silver,A gravediggers shovel that has been sharpened on both sides.,0,0,1d8+1,Piercing/Slashing,0,0,0,0,0
npc008,Steel Ball,thrw,0.5,1,1,10 oz silver,"A metal ball about the size of a baseball, perfectly chrome and shiny",,,1d4+TR,Bludgeoning,0,0,0,0,0
npc009,Phantastic Ball,thrw,0.5,1,1,20 oz silver,"A metal ball about the size of a baseball, perfectly chrome and shiny, with blades that pop out before impact",,,1d8+TR,Piercing/Slashing,0,0,0,0,0
